username,gender,score
raquelreitx,WOMAN,0.5
mariapombo,WOMAN,0.5
itsemilyjames,WOMAN,0.5
elenarodriper,WOMAN,0.5
anainstyle,WOMAN,0.5
annapenello,WOMAN,0.5
isabelcamposr,WOMAN,0.5
inescaldo,WOMAN,0.5
lau_closet,WOMAN,0.5
mathilderodrigues_,WOMAN,0.5
ellamismamode,WOMAN,0.5
georgia.louise1,WOMAN,0.5
zara.outfits,WOMAN,0.5
sallyhildi,WOMAN,0.5
juliaguttenbrunn,WOMAN,0.5
sophiadorena,WOMAN,0.5
terriface,WOMAN,0.5
lauacedo,WOMAN,0.5
luciasar94,WOMAN,0.5
traffygirls,WOMAN,0.5
miamiamine,WOMAN,0.5
maryamou93,WOMAN,0.5
katherine_bondd,WOMAN,0.5
magdanikola,WOMAN,0.5
thanyaw,WOMAN,0.5
ladyaddict,WOMAN,0.5
victoria_fox0001,WOMAN,0.5
paulinenavy,WOMAN,0.5
celiafroman,WOMAN,0.5
yasmindevonport_,WOMAN,0.5
lulandco,WOMAN,0.5
ameliecheval31,WOMAN,0.5
dilara.kx,WOMAN,0.5
ohmyvogue,WOMAN,0.5
taliacupcake,WOMAN,0.5
outfitbook_,WOMAN,0.5
lisarosii,WOMAN,0.5
sasabylopez,WOMAN,0.5
tania.ayuso,WOMAN,0.5
angelina.lilienne,WOMAN,0.5
chloedenny_,WOMAN,0.5
ellieegar,WOMAN,0.5
omynewland,WOMAN,0.5
rocio0sorno,WOMAN,0.5
aicilas_rg,WOMAN,0.5
angelagutierrezp,WOMAN,0.5
rahaftheofficial,WOMAN,0.5
nadia.correiia,WOMAN,0.5
heytammi,WOMAN,0.5
farahlookbook,WOMAN,0.5
artur__fit,MAN,0.5
magno_scavo,MAN,0.5
romanrow,MAN,0.5
lucadebrito,MAN,0.5
audrey_lunda,MAN,0.5
raretrio,MAN,0.5
menwithstreetstyle,MAN,0.5
menwithclass,MAN,0.5
sammarvin_,MAN,0.5
domi_711,MAN,0.5
andreasweinas,MAN,0.5
miladisme,MAN,0.5
ironkimble,MAN,0.5
iamluca.z_,MAN,0.5
steffenbrnd_,MAN,0.5
fabiosengo,MAN,0.5
valtterirantanen,MAN,0.5
casoperdido,MAN,0.5
nasithhh,MAN,0.5
ric_fonsi,MAN,0.5
philippegazarstyle,MAN,0.5
elefv,MAN,0.5
massiii_22,MAN,0.5
lee_xiaoyi,MAN,0.5
chouchane.b,MAN,0.5
omarspaneshi,MAN,0.5
yvi.ackerman,MAN,0.5
andreafaccio,MAN,0.5
alessandrosquarzi,MAN,0.5
nas_424_,MAN,0.5
solo_evis,MAN,0.5
andre20santos,MAN,0.5
moosadaniel_,MAN,0.5
goonza_costa,MAN,0.5
a.becker27,MAN,0.5
tshegokoke,MAN,0.5
driss_huet,MAN,0.5
youssefesawy,MAN,0.5
alessandro.piacenti,MAN,0.5
chadhaupt_,MAN,0.5
